Writeup_name,Category,Text,Label,Topic,Topic Label
XMarkTheSpot,web,"The idea is similar to SQL injection. 
We have a vulnerable query for authenticating the username and password which should be similar to.
So, if we inject some valid XPATH vocabulary into the query, we can manipulate it.
",analysis,0,Topic 0
Members,web,"If we leave the search query empty, we would see all members, else it filters the name.
",analysis,0,Topic 0
05_Cursed_Secret_Party,web,"Looking into the burpsuite proxy, it is posting data to the submit endpoint.
Tracing into the source code, this endpoint adds the post data in the database and calls a visit function from bot. The other endpoint is /admin which gets the data from db and passes it into the admin template and /admin/delete_all endpoint deletes all the data from db.
Looking into the visit function which is called when we submit the form. It first creates a headless browser and it signs and sets an admin JWT which contains flag. This gives the idea that we need to steal this admin cookie. Then it visits the /admin page which displays all the data from db and then it calls delete_all endpoint which deletes all data from db.
Now, that we know that we need to steal admin cookie and also the admin is rendering the user input data, we can perform XSS to grab the cookie.
Looking in the admin template which displays the form data to admin, the halloween name field is marked safe which means it will not escape character, so we can inject our js code in it.
But the problem is that it has a CSP header which we need to bypass for our XSS to work. Understanding the CSP that script source is set to self and jsdelivr CDN which means it will only trust JS code from itself or the cdn.
Fortunately this CDN lets us load files from github and other sources. Which means that we can bypass the CSP and perform our XSS.
So, the idea is to make repo on github and upload the js file, which contains our payload, on it. Since we need to grab the cookie, we add a new image tag and set the source to our own link which logs the request and then append the cookie in the get request. Here i am using webhook.site.
",analysis,0,Topic 0
High_Security,web,"Instead of the path /members, this time we have /security. 
The security page shows an empty table with the columns IP and time.
Since the description tells us that we can see when someone tries to log into our account, we tried to log into our account with a false password. 
Voilà — an entry appears in the table showing my IP address (this is obviously not really mine) and a timestamp.
The table shows the IP address of people who tried to break into your account.
",analysis,0,Topic 0
27_Forbidden_Paths,web,"With file paths, a preceeding ./ means the current directory, and ../ means the enclosing directory. 
",analysis,0,Topic 0
28_Power_Cookie,web,"If we go to the website, we find that there are no cookies saved. However, if we click the continue as guest button, we see that a cookie with the name isAdmin is generated, with the value 0.
",analysis,0,Topic 0
22_Web_Gauntlet_2,web,"We know that the username field must be ""admin"" but unfortunately this is filtered. To bypass this we can simply use the ""||"" joiner with a final value for the username field of ""ad'||'min"".
For the password field we must simply provide something that returns true. The most common one used is ""' OR '1'='1"" but OR is filtered as seen in the filter.php file. Instead we can craft a true statement using IS or IS NOT such as ""a' IS NOT 'b"" which is also true but does not use anything in the filter.php file.
",analysis,0,Topic 0
05_Some_Assembly_Required_1,web,"After inspecting the website, you can see there's a G82XCw5CX3.js file. I visited mercury.picoctf.net:55336/JIFxzHyW8W which consisted of this.
The first time I looked at it I gave up in 5 seconds. Anyways, in the const declaration one of the elements caught my attention. './JIFxzHyW8W' is a path.
",analysis,0,Topic 0
BigHug,web,"When starting on a CTF challenge, the first thing I do is to look for a destination. 
Getting access to a repository that you don’t own should be impossible because the permission controls for repositories are very simple and on first glance, has no obvious problems. 
However, there is a caveat in that if you make requests from a loopback IP address, you will be given essentially godmode powers so you can access any repository. 
It’s clear here that our goal is to somehow make requests from a loopback IP address, hinting at some kind of server-side resource forgery (SSRF) exploit.
git-receive-pack is the endpoint that is used by Git to perform remote operations on a repository. 
In other words, when you git push, the CLI converts your changes into a pack and POSTs it to the server.
BigHug has functionality that lets you specify POST webhooks that will be triggered when you make changes to a repository (more formally, it does this when it executed as git-receive-pack command). 
You are able to provide it with a URL, content that you would like to POST to that URL as well as the Content-Type of the content. 
The content that you provide is then put through a simple templating engine that allows you to inject certain attributes of the commit into your webhook. 
I’ll go more in depth on this below where I explain how the exploit works.
",analysis,0,Topic 0
21_Some_Assembly_Required_3,web,"After inspecting the website, you can see there's a G82XCw5CX3.js file. I visited mercury.picoctf.net:55336/JIFxzHyW8W which consisted of this.
The first time I looked at it I gave up in 5 seconds. Anyways, in the const declaration one of the elements caught my attention. './JIFxzHyW8W' is a path.
I visited mercury.picoctf.net:55336/JIFxzHyW8W and it gave a WebAssembly file.
I translate the wasm file to wat and analyze the result.
Now I translate to pseudo-code and analyze the result.
We can see that check_flag stayed pretty much the same as last time, so we can assume that the magic happens in copy. If we diff it against the original implementation (which simply stored the provided flag characters in memory without any extra manipulation) we can see that this version includes some extra logic:
Notice that e[2] comes from b which is the index of the character, and e[3] comes from a which is a user input character. We can also see that this implementation is using an extra array defined at offset 1067+:
",analysis,0,Topic 0
11_Who_are_you,web,"There are many ways to approach this (some alternatives are curl and burp suite) but I ended up using Postman's HTTP request. We'll unhide requests and override the default User-Agent request with a PicoBrowser agent.
Now, we need to make the header show it's from the same site. We'll use a key of Referer with a value of the site
We'll use the Date header with any value from 2018, for example ""1 Jan 2018""
We can set DNT which is ""do not track"" to 1 (true).
We can use the X-Forwarded-For which will change the originating IP address. Grab any random IP address from Sweden like 12.16.66.01
We can use the Accept-Language header to specify which languages are ok. We can look through a list of languages and find Sweden's subtag is sv.
",analysis,0,Topic 0
