Writeup_name,Category,Text,Label


XMarkTheSpot,web,"For example, let's inject:
This should tell us if the password of the first username is longer than 1 character. 
If we submit this as the username, we get back a response from the server telling us that ""You're on the right path"", so we can deduce that password is longer than 1. 
If we try this, on the other hand, we receive a ""Login Failure"": so the password is shorter than 30 characters.
Let's use the following syntax to iterate some users and check if someone's password starts with ""pico"":
We'll use curl.
We got a match for the third user. Now let's extract his password with the following script.
The script uses XPATH substring to brute force the password character by character. As output we have the flag.",attack_execution


Members,web,"We tried out some SQLi payloads to see that a simple UNION SELECT works and gives results. The UNION SELECT is used to combine the result of two or more SELECTs. Since x gives no result, 1,1,1 is returned as result and verifies the SQLi.
A simple union select as PoC.
With this in mind, we looked for the database engine which is probably MySQL.
A simple union select to leak the database version.
Then we listed all tables and columns and saw that there is a table called supa_secret_table with the column flag.
x"" UNION SELECT COLUMN_NAME, TABLE_NAME,table_schema FROM INFORMATION_SCHEMA.COLUMNS;
An extract of all tables and columns.
A quick query later, we received the flag.",attack_execution


05_Cursed_Secret_Party,web,"Then convert the link of payload file on github to CDN url format.
Next, we inject the following payload in the halloween_name parameter which first closes the div tag and then add our script from the github.
After send the request, we get a hit on our link which in query strings contains the admin session cookie.
Decoding the admin JWT, we get the flag.
",attack_execution


High_Security,web,"We then tried to change our IP address with the X-Forwarded-For header and it worked. The following request resulted in the IP 1.2.3.4 showing up in our table.
Next, we put an XSS payload in the header instead of the IP and the good old alert popped.
Since we had XSS, we guessed that there must be an admin user we can attack with our exploit. So, we sent the same request as above to admin and the following header:
The payload worked on our side but unfortunately, we did not receive any request from an admin.
Another payload we tried showed us that there indeed is an admin user. 
With the following payload, the admin user admin requests an image from our URL. 
The only thing is that we cannot execute Javascript and exfiltrate data.
With our URL as image source, we receive a request from the user admin.
We tried various payloads and ideas but did not succeed.
A colleague message us that the admin uses PhantomJS, as you can see in the user-agent, and PhantomJS does not support fetch. We should have tried the good old XMLHttpRequest. 
Finally, we sent a request to the admin that loads more Javascript code via the XSS in the X-Forward-For header. 
The loaded payload sends the cookies of the user back to us. Thus, we received the flag.",attack_execution


27_Forbidden_Paths,web,"Since we know that we are in /usr/share/nginx/html/, and want to access /flag.txt, we can just use the path ../../../../flag.txt to read the flag.
",attack_execution


28_Power_Cookie,web,"0 means false here, so if we change the cookie's value to 1 and refresh, the website treats us like the admin, giving us the flag.
",attack_execution


22_Web_Gauntlet_2,web,"Using the final values of username and password for login we get the message ""Congrats! You won! Check out filter.php"". Finally reloading the filter.php page gives us this source code with the flag.
",attack_execution


05_Some_Assembly_Required_1,web,"I visited mercury.picoctf.net:55336/JIFxzHyW8W and it gave a WebAssembly file. At the bottom of the file, there was the flag.
",attack_execution



