Writeup_name,Category,Text,Label,Text_tokenize
Members,web,if we leave the search query empty we would see all members else it filters the name,analysis,"['if', 'we', 'leave', 'the', 'search', 'query', 'empty', 'we', 'would', 'see', 'all', 'members', 'else', 'it', 'filters', 'the', 'name']"
High_Security,web,we have again a login page this time only we can register a user,overview,"['we', 'have', 'again', 'a', 'login', 'page', 'this', 'time', 'only', 'we', 'can', 'register', 'a', 'user']"
27_Forbidden_Paths,web,this website has the useful feature of reading any file we want it too given its path,overview,"['this', 'website', 'has', 'the', 'useful', 'feature', 'of', 'reading', 'any', 'file', 'we', 'want', 'it', 'too', 'given', 'its', 'path']"
27_Forbidden_Paths,web,with file paths a preceeding  means the current directory and  means the enclosing directory,analysis,"['with', 'file', 'paths', 'a', 'preceeding', 'means', 'the', 'current', 'directory', 'and', 'means', 'the', 'enclosing', 'directory']"
27_Forbidden_Paths,web,since we know that we are in usrsharenginxhtml and want to access flagtxt we can just use the path flagtxt to read the flag,attack_execution,"['since', 'we', 'know', 'that', 'we', 'are', 'in', 'usrsharenginxhtml', 'and', 'want', 'to', 'access', 'flagtxt', 'we', 'can', 'just', 'use', 'the', 'path', 'flagtxt', 'to', 'read', 'the', 'flag']"
28_Power_Cookie,web,as suggested by the challenge name the solution likely involves changing a cookie value,overview,"['as', 'suggested', 'by', 'the', 'challenge', 'name', 'the', 'solution', 'likely', 'involves', 'changing', 'a', 'cookie', 'value']"
28_Power_Cookie,web,if we go to the website we find that there are no cookies saved however if we click the continue as guest button we see that a cookie with the name isadmin is generated with the value 0,analysis,"['if', 'we', 'go', 'to', 'the', 'website', 'we', 'find', 'that', 'there', 'are', 'no', 'cookies', 'saved', 'however', 'if', 'we', 'click', 'the', 'continue', 'as', 'guest', 'button', 'we', 'see', 'that', 'a', 'cookie', 'with', 'the', 'name', 'isadmin', 'is', 'generated', 'with', 'the', 'value', '0']"
28_Power_Cookie,web,0 means false here so if we change the cookie's value to 1 and refresh the website treats us like the admin giving us the flag,attack_execution,"['0', 'means', 'false', 'here', 'so', 'if', 'we', 'change', 'the', 'cookie', ""'s"", 'value', 'to', '1', 'and', 'refresh', 'the', 'website', 'treats', 'us', 'like', 'the', 'admin', 'giving', 'us', 'the', 'flag']"
22_Web_Gauntlet_2,web,the challenge gives us a link which opens a webpage allowing us to login with a username and password that we can deduce are vulnerable to sql injection looking at the filter link we can see what we must avoid when crafting our sql injection,overview,"['the', 'challenge', 'gives', 'us', 'a', 'link', 'which', 'opens', 'a', 'webpage', 'allowing', 'us', 'to', 'login', 'with', 'a', 'username', 'and', 'password', 'that', 'we', 'can', 'deduce', 'are', 'vulnerable', 'to', 'sql', 'injection', 'looking', 'at', 'the', 'filter', 'link', 'we', 'can', 'see', 'what', 'we', 'must', 'avoid', 'when', 'crafting', 'our', 'sql', 'injection']"
22_Web_Gauntlet_2,web,using the final values of username and password for login we get the message congrats you won check out filterphp finally reloading the filterphp page gives us this source code with the flag,attack_execution,"['using', 'the', 'final', 'values', 'of', 'username', 'and', 'password', 'for', 'login', 'we', 'get', 'the', 'message', 'congrats', 'you', 'won', 'check', 'out', 'filterphp', 'finally', 'reloading', 'the', 'filterphp', 'page', 'gives', 'us', 'this', 'source', 'code', 'with', 'the', 'flag']"
05_Some_Assembly_Required_1,web,upon visiting the website it appears to just be a textbox with a form,overview,"['upon', 'visiting', 'the', 'website', 'it', 'appears', 'to', 'just', 'be', 'a', 'textbox', 'with', 'a', 'form']"
