Writeup_name,Category,Text,Label
Members,web,"If we leave the search query empty, we would see all members, else it filters the name.",analysis
High_Security,web,"We have again a login page. This time only, we can register a user.",overview
27_Forbidden_Paths,web,"This website has the useful feature of reading any file we want it too, given its path.",overview
27_Forbidden_Paths,web,"With file paths, a preceeding ./ means the current directory, and ../ means the enclosing directory.",analysis
27_Forbidden_Paths,web,"Since we know that we are in /usr/share/nginx/html/, and want to access /flag.txt, we can just use the path ../../../../flag.txt to read the flag.",attack_execution
28_Power_Cookie,web,"As suggested by the challenge name, the solution likely involves changing a cookie value.",overview
28_Power_Cookie,web,"If we go to the website, we find that there are no cookies saved. However, if we click the continue as guest button, we see that a cookie with the name isAdmin is generated, with the value 0.",analysis
28_Power_Cookie,web,"0 means false here, so if we change the cookie's value to 1 and refresh, the website treats us like the admin, giving us the flag.",attack_execution
22_Web_Gauntlet_2,web,The challenge gives us a link which opens a webpage allowing us to login with a username and password that we can deduce are vulnerable to SQL injection. Looking at the filter link we can see what we must avoid when crafting our SQL injection.,overview
22_Web_Gauntlet_2,web,"Using the final values of username and password for login we get the message ""Congrats! You won! Check out filter.php"". Finally reloading the filter.php page gives us this source code with the flag.",attack_execution
05_Some_Assembly_Required_1,web,"Upon visiting the website, it appears to just be a textbox with a form.",overview
05_Some_Assembly_Required_1,web,"I visited mercury.picoctf.net:55336/JIFxzHyW8W and it gave a WebAssembly file. At the bottom of the file, there was the flag.",attack_execution
21_Some_Assembly_Required_3,web,"Upon visiting the website, it appears to just be a textbox with a form.",overview
12_login,web,"On first inspection, when faced with a login screen, it seems like SQL injection, because isn’t that what always happens with logins in CTFs?",overview
12_login,web,"If you’re not convinced it’s the real flag, you can decode the username (admin) and input both into the login form, which results in an alert announcing the flag.",attack_execution
02_Spookifier,web,"Then using the following payload, we can run commands on the system and read our flag.",attack_execution
25_Web_Gauntlet,web,"In this challenge, we are linked to a login form we are meant to bypass with SQL injection. At each level the filter changes, so we have to update your injection as necessary.",overview
Homework,web,"When following the link, we get an ERR_UNSAFE_PORT.",overview
Notepad,web,"The application is a simple note-taking site. When a new note is created, a file in the static folder is created, and the client is redirected to the file.",overview
Authentication,web,We can see a login page with the goal to log in as admin.,overview
Authentication,web,"Of course, we could try various SQLi techniques, but here, already the first SQLi textbook exploit works: ‘ OR 1==1-- as username logs us in as admin.",analysis
Authentication,web,"On the webpage, we don’t see a flag so we open the source code of the page with ctrl-u and find the flag as a hidden field at the bottom of the page.",attack_execution
Note,web,"After browsing the site for few minutes, I realised that you can inject html code while creating new notes.",overview
15_Local_Authority,web,"When you go to the website, you find the following login screen:",overview
