Writeup_name,Category,Text,Overview,Analysis,Attack_execution,Topic,Topic Label
XMarkTheSpot,web,"Visiting the website, we are presented with a login form (and a Robert Frost poem).
The hint says ""XPATH"", and using some common XPATH injection techniques we can leak some information about the underlying DB.
",1,0,0,1,Topic 1
XMarkTheSpot,web,"The idea is similar to SQL injection. 
We have a vulnerable query for authenticating the username and password which should be similar to.
So, if we inject some valid XPATH vocabulary into the query, we can manipulate it.
",0,1,0,1,Topic 1
XMarkTheSpot,web,"For example, let's inject:
This should tell us if the password of the first username is longer than 1 character. 
If we submit this as the username, we get back a response from the server telling us that ""You're on the right path"", so we can deduce that password is longer than 1. 
If we try this, on the other hand, we receive a ""Login Failure"": so the password is shorter than 30 characters.
Let's use the following syntax to iterate some users and check if someone's password starts with ""pico"":
We'll use curl.
We got a match for the third user. Now let's extract his password with the following script.
The script uses XPATH substring to brute force the password character by character. As output we have the flag.",0,0,1,1,Topic 1
Members,web,"In the challenge members, we need to get more information about the members. This, again, sounds like an SQLi challenge.
When we visit the members' page, we can see a search field and all members listed.
The page shows a search field and all the members.
",1,0,0,0,Topic 0
Members,web,"If we leave the search query empty, we would see all members, else it filters the name.
",0,1,0,0,Topic 0
Members,web,"We tried out some SQLi payloads to see that a simple UNION SELECT works and gives results. The UNION SELECT is used to combine the result of two or more SELECTs. Since x gives no result, 1,1,1 is returned as result and verifies the SQLi.
A simple union select as PoC.
With this in mind, we looked for the database engine which is probably MySQL.
A simple union select to leak the database version.
Then we listed all tables and columns and saw that there is a table called supa_secret_table with the column flag.
x"" UNION SELECT COLUMN_NAME, TABLE_NAME,table_schema FROM INFORMATION_SCHEMA.COLUMNS;
An extract of all tables and columns.
A quick query later, we received the flag.",0,0,1,1,Topic 1
05_Cursed_Secret_Party,web,"Starting the challenge, we get the following page which presents a form.
Submitting the form, it says that request will be reviewed by team.
",1,0,0,0,Topic 0
05_Cursed_Secret_Party,web,"Looking into the burpsuite proxy, it is posting data to the submit endpoint.
Tracing into the source code, this endpoint adds the post data in the database and calls a visit function from bot. The other endpoint is /admin which gets the data from db and passes it into the admin template and /admin/delete_all endpoint deletes all the data from db.
Looking into the visit function which is called when we submit the form. It first creates a headless browser and it signs and sets an admin JWT which contains flag. This gives the idea that we need to steal this admin cookie. Then it visits the /admin page which displays all the data from db and then it calls delete_all endpoint which deletes all data from db.
Now, that we know that we need to steal admin cookie and also the admin is rendering the user input data, we can perform XSS to grab the cookie.
Looking in the admin template which displays the form data to admin, the halloween name field is marked safe which means it will not escape character, so we can inject our js code in it.
But the problem is that it has a CSP header which we need to bypass for our XSS to work. Understanding the CSP that script source is set to self and jsdelivr CDN which means it will only trust JS code from itself or the cdn.
Fortunately this CDN lets us load files from github and other sources. Which means that we can bypass the CSP and perform our XSS.
So, the idea is to make repo on github and upload the js file, which contains our payload, on it. Since we need to grab the cookie, we add a new image tag and set the source to our own link which logs the request and then append the cookie in the get request. Here i am using webhook.site.
",0,1,0,0,Topic 0
05_Cursed_Secret_Party,web,"Then convert the link of payload file on github to CDN url format.
Next, we inject the following payload in the halloween_name parameter which first closes the div tag and then add our script from the github.
After send the request, we get a hit on our link which in query strings contains the admin session cookie.
Decoding the admin JWT, we get the flag.
",0,0,1,0,Topic 0
High_Security,web,"We have again a login page. This time only, we can register a user. 
",1,0,0,1,Topic 1
High_Security,web,"Instead of the path /members, this time we have /security. 
The security page shows an empty table with the columns IP and time.
Since the description tells us that we can see when someone tries to log into our account, we tried to log into our account with a false password. 
Voilà — an entry appears in the table showing my IP address (this is obviously not really mine) and a timestamp.
The table shows the IP address of people who tried to break into your account.
",0,1,0,1,Topic 1
